referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close
/football/guatemala/liga-nacional/zacapa-guastatoya/,ra20jYNj,Zacapa,Guastatoya,1:1,liga-nacional,guatemala,main,2023,2023-12-07,Pinnacle,2.13,2.97,3.77,2.13,2.97,3.77,,2.48,,1.51,,2.11,,1.72,,1.81,,2.02,,1.48,,2.64,,1.34,,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/guatemala/liga-nacional/antigua-guastatoya/,lbjIGBMN,Antigua,Guastatoya,0:0,liga-nacional,guatemala,main,2023,2023-12-03,Pinnacle,1.67,3.45,5.50,1.67,3.45,5.50,,1.88,,1.94,,1.65,,2.21,,1.43,,2.71,,,,,,,,,,2.66,,1.45,,2.59,,1.47,,2.24,,1.64,,,,,,,,,,,,,,,,
/football/guatemala/liga-nacional/deportivo-achuapa-xelaju/,MoLWZYMo,Deportivo Achuapa,Xelaju,1:3,liga-nacional,guatemala,main,2023,2023-12-03,Pinnacle,1.90,3.04,4.63,1.90,3.04,4.63,,2.18,,1.67,,1.90,,1.92,,1.61,,2.30,,1.32,,3.23,,1.31,,3.28,,,,,,,,,,2.74,,1.43,,,,,,,,,,,,,,,,
/football/guatemala/liga-nacional/municipal-zacapa/,0xKzZhxh,Municipal,Zacapa,1:2,liga-nacional,guatemala,main,2023,2023-12-03,Pinnacle,1.28,5.18,10.56,1.28,5.18,10.56,,1.41,,2.75,,,,,,,,,,,,,,,,,,1.90,,1.92,,1.66,,2.21,,1.42,,2.78,,2.60,,1.47,,2.15,,1.69,,,,,,,,
/football/guatemala/liga-nacional/comunicaciones-malacateco/,d4DqXW64,Comunicaciones,Malacateco,5:0,liga-nacional,guatemala,main,2023,2023-12-02,Pinnacle,1.62,3.32,4.50,1.62,3.32,4.50,,1.76,,1.91,,1.61,,2.09,,1.41,,2.50,,,,,,,,,,,,,,2.18,,1.54,,1.97,,1.69,,,,,,,,,,,,,,,,
/football/guatemala/liga-nacional/xelaju-deportivo-achuapa/,8rXlBkpo,Xelaju,Deportivo Achuapa,3:1,liga-nacional,guatemala,main,2023,2023-12-01,Pinnacle,1.72,3.30,5.33,1.72,3.30,5.33,,1.96,,1.85,,1.71,,2.12,,1.47,,2.59,,,,,,,,,,,,,,2.79,,1.41,,2.41,,1.56,,,,,,,,,,,,,,,,
/football/guatemala/liga-nacional/malacateco-comunicaciones/,IDEuYCib,Malacateco,Comunicaciones,2:0,liga-nacional,guatemala,main,2023,2023-11-30,Pinnacle,2.76,2.89,2.76,2.71,2.95,2.52,,,,,2.65,2.69,1.41,1.44,2.31,2.32,1.55,1.60,1.94,1.91,1.80,1.91,1.63,1.60,2.15,2.31,,,,,,,,,,,,,,,,,,,,,1.47,1.44,2.47,2.69,,,,
/football/guatemala/liga-nacional/zacapa-municipal/,WMuNFVyU,Zacapa,Municipal,1:0,liga-nacional,guatemala,main,2023,2023-11-30,Pinnacle,3.54,2.93,2.23,3.54,2.93,2.23,,,,,,,,,,2.94,,1.38,,2.46,,1.54,,1.93,,1.89,,,,,,,,,,,,,,,,,,,,,,1.65,,2.21,,1.46,,2.64
/football/guatemala/liga-nacional/guastatoya-antigua/,A7iEHi7H,Guastatoya,Antigua,2:0,liga-nacional,guatemala,main,2023,2023-11-29,Pinnacle,1.78,3.12,5.30,1.99,3.07,3.48,2.30,2.04,1.53,1.80,2.01,1.76,1.75,2.04,1.71,1.51,1.99,2.50,1.43,1.26,2.53,3.65,,,,,,,,,2.82,2.88,1.40,1.39,2.89,2.51,1.33,1.52,,,,,,,,,,,,,,,,
/football/guatemala/liga-nacional/xelaju-comunicaciones/,nTGUef0T,Xelaju,Comunicaciones,2:2,liga-nacional,guatemala,main,2023,2023-12-08,Pinnacle,2.88,2.85,2.67,2.88,2.85,2.67,,,,,,2.81,,1.41,,2.41,,1.56,,1.99,,1.84,,1.64,,2.24,,,,,,,,,,,,,,,,,,,,,,1.47,,2.61,,,,
